tool,id,cwe
codeql,java/inefficient-string-constructor,CWE-unknown
codeql,java/inefficient-output-stream,CWE-unknown
codeql,java/non-static-nested-class,CWE-unknown
codeql,java/inefficient-empty-string-test,CWE-unknown
codeql,java/inefficient-boxed-constructor,CWE-unknown
codeql,java/inefficient-key-set-iterator,CWE-unknown
codeql,java/iterable-wraps-iterator,CWE-unknown
codeql,java/useless-null-check,CWE-561
codeql,java/useless-type-test,CWE-561
codeql,java/iterator-implements-iterable,CWE-unknown
codeql,java/chained-type-tests,CWE-unknown
codeql,java/unused-reference-type,CWE-561
codeql,java/local-variable-is-never-read,CWE-561
codeql,java/unimplementable-interface,CWE-unknown
codeql,java/unused-label,CWE-561
codeql,java/uncaught-number-format-exception,CWE-248
codeql,java/ignored-error-status-of-call,CWE-391
codeql,java/abstract-to-concrete-cast,CWE-485
codeql,java/internal-representation-exposure,CWE-485
codeql,java/confusing-method-name,CWE-unknown
codeql,java/local-shadows-field,CWE-unknown
codeql,java/subtle-inherited-call,CWE-unknown
codeql,java/confusing-method-signature,CWE-unknown
codeql,java/class-name-matches-super-class,CWE-unknown
codeql,java/print-array,CWE-unknown
codeql,java/useless-tostring-call,CWE-unknown
codeql,java/call-to-object-tostring,CWE-unknown
codeql,java/non-null-boxed-variable,CWE-unknown
codeql,java/constants-only-interface,CWE-unknown
codeql,java/unused-parameter,CWE-561
codeql,java/jdk-internal-api-access,CWE-unknown
codeql,java/underscore-identifier,CWE-unknown
codeql,java/constant-loop-condition,CWE-835
codeql,java/type-mismatch-access,CWE-unknown
codeql,java/empty-container,CWE-561
codeql,java/index-out-of-bounds,CWE-193
codeql,java/unused-container,CWE-561
codeql,java/type-mismatch-modification,CWE-unknown
codeql,java/lshift-larger-than-type-width,CWE-unknown
codeql,java/evaluation-to-constant,CWE-unknown
codeql,java/integer-multiplication-cast-to-long,CWE-190
codeql,java/whitespace-contradicts-precedence,CWE-783
codeql,java/implicit-cast-in-compound-assignment,CWE-190
codeql,java/input-resource-leak,CWE-404
codeql,java/database-resource-leak,CWE-404
codeql,java/output-resource-leak,CWE-404
codeql,java/comparison-of-identical-expressions,CWE-unknown
codeql,java/inconsistent-equals-and-hashcode,CWE-581
codeql,java/unchecked-cast-in-equals,CWE-unknown
codeql,java/reference-equality-of-boxed-types,CWE-595
codeql,java/hashing-without-hashcode,CWE-unknown
codeql,java/equals-on-arrays,CWE-unknown
codeql,java/constant-comparison,CWE-570
codeql,java/comparison-with-nan,CWE-unknown
codeql,java/equals-on-unrelated-types,CWE-unknown
codeql,java/unsafe-double-checked-locking-init-order,CWE-609
codeql,java/call-to-thread-run,CWE-572
codeql,java/unsafe-double-checked-locking,CWE-609
codeql,java/sync-on-boxed-types,CWE-662
codeql,java/unsynchronized-getter,CWE-413
codeql,java/non-sync-override,CWE-820
codeql,java/continue-in-false-loop,CWE-unknown
codeql,java/unreachable-catch-clause,CWE-561
codeql,java/misleading-indentation,CWE-unknown
codeql,java/dereferenced-value-may-be-null,CWE-476
codeql,java/dereferenced-value-is-always-null,CWE-476
codeql,java/dereferenced-expr-may-be-null,CWE-476
codeql,java/non-final-call-in-constructor,CWE-unknown
codeql,java/test-for-negative-container-size,CWE-unknown
codeql,java/suspicious-date-format,CWE-unknown
codeql,java/string-buffer-char-init,CWE-unknown
codeql,java/missing-format-argument,CWE-685
codeql,java/redundant-assignment,CWE-unknown
codeql,java/contradictory-type-checks,CWE-unknown
codeql,java/missing-space-in-concatenation,CWE-unknown
codeql,java/unused-format-argument,CWE-685
codeql,java/command-line-injection,CWE-078
codeql,java/concatenated-command-line,CWE-078
codeql,java/android/webview-debugging-enabled,CWE-489
codeql,java/android/debuggable-attribute-enabled,CWE-489
codeql,java/insecure-ldap-auth,CWE-522
codeql,java/predictable-seed,CWE-335
codeql,java/insufficient-key-size,CWE-326
codeql,java/unsafe-deserialization,CWE-502
codeql,java/polynomial-redos,CWE-1333
codeql,java/redos,CWE-1333
codeql,java/regex-injection,CWE-730
codeql,java/http-response-splitting,CWE-113
codeql,java/netty-http-request-or-response-splitting,CWE-93
codeql,java/server-side-template-injection,CWE-1336
codeql,java/mvel-expression-injection,CWE-094
codeql,java/insecure-bean-validation,CWE-094
codeql,java/jexl-expression-injection,CWE-094
codeql,java/spel-expression-injection,CWE-094
codeql,java/groovy-injection,CWE-094
codeql,java/ssrf,CWE-918
codeql,java/ldap-injection,CWE-090
codeql,java/sql-injection,CWE-089
codeql,java/xss,CWE-079
codeql,java/maven/non-https-url,CWE-300
codeql,java/overly-large-range,CWE-020
codeql,java/insecure-randomness,CWE-330
codeql,java/cleartext-storage-in-cookie,CWE-315
codeql,java/android/backup-enabled,CWE-312
codeql,java/android/insecure-local-authentication,CWE-287
codeql,java/maven/dependency-upon-bintray,CWE-1104
codeql,java/android/fragment-injection,CWE-470
codeql,java/android/fragment-injection-preference-activity,CWE-470
codeql,java/insecure-cookie,CWE-614
codeql,java/improper-webview-certificate-validation,CWE-295
codeql,java/insecure-trustmanager,CWE-295
codeql,java/weak-cryptographic-algorithm,CWE-327
codeql,java/android/implicitly-exported-component,CWE-926
codeql,java/missing-jwt-signature-check,CWE-347
codeql,java/android/unsafe-content-uri-resolution,CWE-441
codeql,java/tainted-permissions-check,CWE-807
codeql,java/unvalidated-url-redirection,CWE-601
codeql,java/android/implicit-pendingintents,CWE-927
codeql,java/partial-path-traversal-from-remote,CWE-023
codeql,java/error-message-exposure,CWE-209
codeql,java/stack-trace-exposure,CWE-209
codeql,java/unsafe-hostname-verification,CWE-297
codeql,java/android/intent-uri-permission-manipulation,CWE-266
codeql,java/jndi-injection,CWE-074
codeql,java/xslt-injection,CWE-074
codeql,java/android/intent-redirection,CWE-926
codeql,java/ognl-injection,CWE-917
codeql,java/xml/xpath-injection,CWE-643
codeql,java/spring-disabled-csrf-protection,CWE-352
codeql,java/static-initialization-vector,CWE-329
codeql,java/rsa-without-oaep,CWE-780
codeql,java/tainted-format-string,CWE-134
codeql,java/xxe,CWE-611
codeql,java/unvalidated-url-forward,CWE-552
codeql,java/jhipster-prng,CWE-338
codeql,java/improper-intent-verification,CWE-925
codeql,java/tainted-numeric-cast,CWE-197
codeql,java/path-injection,CWE-022
codeql,java/zipslip,CWE-022
codeql,java/world-writable-file-read,CWE-732
codeql,java/deprecated-call,CWE-477
codeql,java/inconsistent-javadoc-throws,CWE-unknown
codeql,java/unknown-javadoc-parameter,CWE-unknown
codeql,java/missing-override-annotation,CWE-unknown
codeql,java/type-bound-extends-final,CWE-unknown
codeql,java/type-variable-hides-type,CWE-unknown
codeql,java/non-overriding-package-private,CWE-unknown
codeql,java/empty-zip-file-entry,CWE-unknown
codeql,java/unsafe-get-resource,CWE-unknown
codeql,java/field-masks-super-field,CWE-unknown
codeql,java/run-finalizers-on-exit,CWE-unknown
codeql,java/iterator-hasnext-calls-next,CWE-unknown
codeql,java/spin-on-field,CWE-unknown
codeql,java/iterator-remove-failure,CWE-unknown
codeql,java/wrong-swing-event-adapter-signature,CWE-unknown
codeql,java/wrong-junit-suite-signature,CWE-unknown
codeql,java/ineffective-annotation-present-check,CWE-unknown
codeql,java/random-used-once,CWE-335
codeql,java/multiplication-of-remainder,CWE-unknown
codeql,java/abs-of-random,CWE-unknown
codeql,java/inconsistent-compareto-and-equals,CWE-unknown
codeql,java/wrong-equals-signature,CWE-unknown
codeql,java/reference-equality-on-strings,CWE-597
codeql,java/wrong-compareto-signature,CWE-unknown
codeql,java/unreleased-lock,CWE-764
codeql,java/thread-start-in-constructor,CWE-unknown
codeql,java/notify-instead-of-notify-all,CWE-662
codeql,java/wait-on-condition-interface,CWE-662
codeql,java/inconsistent-sync-writeobject,CWE-662
codeql,java/unsafe-sync-on-field,CWE-662
codeql,java/thread-unsafe-dateformat,CWE-unknown
codeql,java/sleep-with-lock-held,CWE-833
codeql,java/missing-case-in-switch,CWE-478
codeql,java/missing-super-finalize,CWE-568
codeql,java/missing-clone-method,CWE-unknown
codeql,java/missing-call-to-super-clone,CWE-580
codeql,java/equals-typo,CWE-unknown
codeql,java/non-short-circuit-evaluation,CWE-691
codeql,java/tostring-typo,CWE-unknown
codeql,java/hashcode-typo,CWE-unknown
codeql,java/missing-no-arg-constructor-on-externalizable,CWE-unknown
codeql,java/non-serializable-inner-class,CWE-unknown
codeql,java/missing-no-arg-constructor-on-serializable,CWE-unknown
codeql,java/incorrect-serial-version-uid,CWE-unknown
codeql,java/wrong-object-serialization-signature,CWE-unknown
codeql,java/wrong-readresolve-signature,CWE-unknown
codeql,java/exec-tainted-environment,CWE-078
codeql,java/relative-path-command,CWE-078
codeql,java/insecure-basic-auth,CWE-522
